Game_Name,CPU,GPU,RAM,File_size,OS,Steam_AppID
Senua's Saga: Hellblade II,Intel Core i5-8400,GTX 1070,16,70,Windows,2461850
Grand Theft Auto V,Intel Core 2 Quad Q6600,GTX 660,4,72,Windows,271590
Call of Duty Modern Warfare,Intel Core i3-3225,GTX 660,8,55,Windows,393080
God of War,Intel Core i5-2500K,GTX 960,8,70,Windows,1593500
DOOM Eternal, Intel Core i5-6600K,GTX 1050 Ti,8,50,Wondows,782330
Red Dead Redemption 2,Intel Core i5-2500K,GTX 770,8,150,Windows,1174180
Cyberpunk 2077,Intel Core i7-12700,GTX 1060 6GB,12,70,Windows,1091500
Borderlands 3,AMD FX-8350,GTX 680,6,75,Widnows,397540
Star Wars Outlaws,Intel Core i7-8700K,GTX 1660,16,65,Windows,2842040
STALKER 2,Intel Core i5-7600K,RX 580,8,150,Windows,1643320
Elden Ring,Intel Core i5-8400,GTX 1060 3GB,12,60,Windows,1245620
Call of Duty: Black Ops 6,Intel Core i5-6600,GTX 1650,8,149,Windows,2933620
Counter-Strike 2,Intel Core i5-750,HD Graphics 4000,8,85,Windows,730
Valorant,Intel Core i3-4150,GT 730,4,55,Windows,Riot-Anticheat
Watch Dogs Legion,Intel Core i5-4460,GTX 970,8,45,Windows,2239550
Death Stranding,Intel Core i5-3470,GTX 1050,8,80,Windows,1850570
Dying Light 2,Intel Core i3-9100,GTX 1050 Ti,8,60,Windows,534380
Watch Dogs 2,Intel Core i5-2400,GTX 660,6,50,Windows,447040
DOOM: The Dark Ages,Intel Core i7-10700K,RTX 2060 Super,16,100,Windows,3017860
Battlefield V,Intel Core i5-6600K,GTX 660,8,50,Windows,1238810
Baldur's Gate 3,Intel Core i5-4690,GTX 970,8,150,Windows,1086940
Zenless Zone Zero, Intel Core i5-7600,GTX 970,8,57,Windows,Hoyoverse-Anticheat
Call of Duty WWII,Intel Core i3-3225,GTX 1050,8,90,Widnows,476600
God of War Ragnarok,Intel Core i5-2500K,GTX 960,8,70,Windows,2322010
Far Cry 6,AMD Ryzen 3 1200,RX 460,8,60,Windows,2369390
